stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.8672347,0.9012503,0.07885343,0.0011570598,0.007375198,True,27.592592,0.43137732
mean_ub,0.70582294,0.7125411,0.11240339,4.513354e-05,0.012679689,True,56.894444,0.059768215
std_ub,0.2161563,0.16608775,0.0642577,0.0025068608,0.0066359155,True,79.114815,0.7791838
10q_ub,0.511121,0.5587444,0.060883734,0.0022679854,0.005975023,True,22.896296,0.7822019
30q_ub,0.581963,0.60815877,0.076291546,0.0006862182,0.0065065683,True,45.88889,0.34336397
50q_ub,0.647805,0.6653489,0.0956977,0.000307788,0.009465811,True,52.514816,0.18332611
70q_ub,0.742584,0.7493448,0.12594208,4.5708766e-05,0.015907215,True,57.3,0.05368202
90q_ub,0.971597,0.9278692,0.1928837,0.0019121204,0.03911664,True,64.792595,0.22670552
mean_lb,-0.765181,-0.7124993,0.1184389,0.0027753622,0.016802859,True,27.724297,0.4448007
std_lb,0.26402858,0.15686016,0.07582435,0.011485069,0.017234325,True,90.378944,1.4133773
10q_lb,0.50545,0.567014,0.0689019,0.0037901236,0.008537522,True,16.346706,0.89350194
30q_lb,0.600195,0.613859,0.08396926,0.00018670484,0.0072375657,True,52.36585,0.1627262
50q_lb,0.697695,0.6688339,0.10394021,0.00083296245,0.0116366325,True,68.08376,0.2776701
70q_lb,0.83678,0.74822456,0.13549696,0.007842067,0.026200956,True,77.0649,0.6535604
90q_lb,1.11785,0.90810394,0.20786324,0.04399341,0.08720218,True,83.60321,1.009058
